dataMatrix	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m
Q9DB05_Alpha-soluble NSF attach.	8147404.99999999	7112230.50000016	8006612.00000003	8104729.00000014	9043863.99999984	7878507.50000012	8301662.99999981	8747549.00000021	7396121.50000005	8064036.00000006	7694002.50000008	8171303.00000016	8137666.00000024	9459439.99999999	7400318.49999996	8900913.99999969	9616234.00000015	8673137.00000009	9273712.00000008	7823733.49999987	8147443.49999979	8031108.99999999	7358989.4999998	7739041.00000015	7358783.00000015	8962735.9999997	9273884.99999979	7566234.50000022
Q9R1J0_Sterol-4-alpha-carboxyla.	18163866.0000002	18610737.9999998	14280455.9999999	18494759.9999994	14940086.9999999	17081687.9999999	13124381.0000002	15357483.0000004	16135113.0000004	14945186.0000005	17972485.9999996	14145309.0000003	14589071.9999995	18450013.9999995	15714229.0000002	17394986	14275980.0000004	15422047.0000005	18257844.0000001	21460137.9999996	15717921.0000003	14016763.0000004	13402862.0000004	17285705.9999997	16655226.0000001	13755385.0000003	17615457.9999994	15553252.9999994
Q99020_Heterogeneous nuclear ri.	19417879.9999998	22061293.9999994	16702563.0000005	18749014.0000002	18561418.0000001	16373420.0000002	17653031.9999994	18767928.0000004	15710069.9999996	18306053.9999999	17577170.0000004	18278948.0000001	19041610.0000003	20848507.9999993	18385744.0000003	15912061.0000001	21257352.0000004	13985583.9999999	16648717.0000004	21274845.9999993	19755448	16520464.9999995	18551590.0000006	18773478.0000005	17094791.9999996	16857807.9999995	18370441.9999999	16957937.9999996
P46735_Unconventional myosin-Ib	8905842.00000017	4882812.49999992	7511086.99999999	3274371.74999995	8180436.49999985	5345855.50000013	1476541.88000004	6528204.99999982	4599327.49999985	7931701.50000012	5251494.50000016	6439678.50000012	1299451.49999997	4370738.00000012	5447843.99999983	4201512.99999987	157443.910000002	3598949.50000005	282808.340000007	147735.389999998	3811296.50000001	7170508	11231990.9999997	5931986.5	5341447.99999983	6209934.49999988	7365698.50000009	8506958.99999975
P68433_Histone H3.1	3344853.75000006	3096910.50000003	2969140.99999991	2355592.49999994	3334489.49999996	2510075.50000004	3534730.74999992	3180781.4999999	2226844.75000003	2416973.50000006	3213902.25000005	2053519.99999995	4047231.00000014	3648170.50000006	2483716.24999996	2536605.00000006	4477872.49999994	2301457.49999998	2931739.25000001	3587234.75000003	3832501.25000005	2405126.75000001	2559010.24999992	3110351.74999999	3351970.75000008	2782536.00000004	2483859.74999995	2755848.00000005
Q9CZX8_40S ribosomal protein S19	55987999.9999995	63348924.000002	63896827.9999996	66894831.9999991	59381279.9999999	69442215.9999996	57945707.9999984	62832744	59218807.9999989	67607159.9999997	57587047.9999993	63072359.9999997	53975775.9999997	71091776.0000002	83027759.9999988	63305300.0000003	72703304.0000001	70041415.9999996	74440056.0000009	74292871.9999982	70177072.0000004	65069188.000002	70096999.9999976	62434851.9999988	71864680.0000005	67467608.0000005	68590807.9999994	70166807.9999979
Q9CQ65_S-methyl-5'-thioadenosin.	6007992.4999999	5215256.49999985	4718061.99999993	5891710.00000013	4527055.49999985	6535416.4999998	7544589.49999982	6313757.50000003	5258322	5919883.49999979	6930578.50000017	5503827.49999992	5638756.50000007	5492938.50000009	7061550.99999994	6923679.50000011	6016432.99999985	6989492.99999998	5936794.49999989	4953046.50000006	5766346.99999996	5222394.00000008	6679873.49999997	6705532.49999991	6665975.99999994	5903939.49999997	7048934.99999998	4212036.50000008
Q9D8U8_Sorting nexin-5	10412533.9999999	8777026.00000002	3133675.75000005	9335053.99999968	9550394.99999967	7968756.50000003	7580445.99999976	11107766.9999997	8464101.00000019	9170293.00000006	10437197.9999997	7650606.99999977	8094021.00000003	10401987	7640322.50000006	9748418.99999968	11848305.0000004	11929332	10178880.9999998	10117458.9999998	6952254.99999999	7106324.00000023	8893432.00000008	8842945.99999972	7708765.00000023	7634856.4999999	10424812.9999997	8760060.99999975
Q61102_ATP-binding cassette sub.	2968111.5000001	3641854.99999998	1234364.88000001	3427638.75000009	2042433.61999998	3282047.75000009	3788265.50000002	4077219.50000006	3179710.50000008	1028636.12	3233639.99999995	3109193.74999997	3227371.74999992	3389971.50000001	2013216.50000003	3303536.50000007	2930469.99999994	2919540.50000001	2941991.74999994	3367605.49999995	3471549.0000001	3181196.25000007	3397924.24999992	2669629.99999995	2962747.24999994	3404687.24999989	589431.000000004	3178889.74999997
Q02257_Junction plakoglobin	5592162.99999987	7485715.5	5101583.99999999	3696089.49999989	5794596.00000012	5032122	6516029.49999982	6052005.00000017	2044337.25	4216700.0000001	7818624.50000007	4759761.99999993	7761724.49999996	5453825.50000008	4815502.49999987	4941570.00000006	6494705.00000003	6204728.99999992	4501276.49999995	3273671.24999996	4786265.50000013	2563712.00000007	4886384.49999999	4650650.50000005	5361396.99999992	4965753.49999994	6347441.99999993	3519253.74999995
Q62264_Thyroid hormone-inducibl.	16823576.0000001	21150380.0000004	12113210.9999998	29122401.9999998	13684205.0000002	33630995.9999996	7629421.49999992	9538112.99999991	34814876.0000006	37653183.9999994	19629827.9999999	26041411.9999993	7394436.49999988	19326698.0000005	10467221.9999998	18544455.9999994	10588603.9999997	16146218.9999996	20713920.0000005	20497752	22135708.0000004	16398697.0000004	17622326	33525992.0000008	37365244	9942906.00000028	9319939.99999989	33927595.999999
Q9QYA2_Mitochondrial import rec.	3548753.24999997	3687123.25000003	5747609.49999986	5656430.50000013	4651752	3196243.74999989	6857558.50000004	5145947.50000007	6049783.50000017	3645415.49999988	4982011.49999984	4506480.00000015	7854728.00000011	5449338.00000003	4091516.24999994	4670192.99999987	4383535.5000001	5503820.49999985	4875053.99999997	5689664.00000001	5339081.99999987	222819.880000006	5503810.50000005	4567681.50000007	5061448.50000017	4319590.50000015	2942711.74999998	5329974.00000009
P08030_Adenine phosphoribosyltr.	5347775.49999998	6029023.00000006	4384304.99999988	3904641.74999992	4708068.00000004	5628186.99999995	5012262.00000016	5792319.50000004	4384771.99999986	5091659.00000008	5142805.49999985	4438241.49999986	5534567.00000013	5755456.49999997	5401666.99999999	5898348.00000001	6433131.00000001	5298262.99999993	5664154.5000001	4934587.99999995	5243289.49999988	4137235.74999999	4403913.99999995	4274259.49999999	3923829.00000001	6272384.49999997	5351592.99999999	4990366.00000016
P00397_Cytochrome c oxidase sub.	35307055.9999999	34871211.9999998	38759200	34010488.0000011	38613959.9999992	30143209.9999994	37383991.9999998	31983812.0000002	26547427.9999997	28007187.9999994	35873740.0000007	32371541.9999991	45688511.9999998	24361808.0000005	26613587.9999993	20696690.0000007	29188169.9999992	25801690.0000001	21666876.0000005	38834272.0000001	36633743.9999995	29725232.0000004	29822828.0000008	30426740.0000006	30662884.000001	32653008.0000009	25325708.0000005	33151443.9999994
P01864_Ig gamma-2A chain C regi.	14508290.9999999	13197411.9999997	16778782.0000004	8135128.0000001	11265508.9999999	7294038.99999996	24097282.0000004	1625081.88	4784018.99999998	1754781.00000002	6834567.49999991	7303468.99999976	9754835.99999979	9796543.99999968	11318427.9999999	8825017.00000017	37477996.0000011	5685563.00000002	10560458.0000001	6754700.00000002	965380.189999999	7778687.50000022	6337882.50000017	5337837.5000001	1642556.75000004	20207187.9999997	11783139	1444279.38000002
O70325_Phospholipid hydroperoxi.	14648911.9999999	9685080.99999992	15073776.0000004	16893267.9999996	20344329.9999993	12374970.9999999	9179446.0000003	11933649.9999999	1097776.37999997	9063705.99999978	11738216.0000002	14411200.9999996	15057146.0000002	13169035.9999998	13178846.9999999	15415802.0000001	9485082.00000023	14910586.9999997	18389407.9999996	725565.809999998	10628943.0000001	14031767	11380132.0000003	9582756.99999975	8593082.00000029	12660927.9999998	9834334.99999991	9292929.00000012
Q9R0Q9_Mannose-P-dolichol utili.	7735975.99999988	7049176.99999988	9009403.00000008	8708546.99999998	7987583.99999993	7153197.50000022	8063160.49999974	6413244.49999986	7063845.50000018	6959280.4999998	7277519.99999989	7715163.00000009	7806570.49999991	6888279.49999979	6021598.00000021	6780794.5000002	7015596.00000012	6083705.00000009	5757341.00000003	9356475.99999975	8040246.50000014	6738402.99999993	7737843.99999988	7603725.0000002	7015398.99999989	7622559.50000005	7233596.00000007	8364601.5000003
P36536_GTP-binding protein SAR1a	1948271.49999993	2184308.75000007	1970153.12	1580750.61999999	2085107.12000002	1643513.75000001	2007327.74999999	1935063.5	1674914.88000002	1941467.12000006	1943962.88	1466519.37999995	1989496.88000006	2158384.75000003	1572030.99999998	1912367.74999994	2049258.50000005	1606406.99999997	1595774.50000004	1853876.11999999	1409612.49999998	1511202.24999997	1975609.50000003	1901213.50000006	1776407.50000003	1618904.50000001	1624422.24999996	1738094.38000001
Q9CR61_NADH dehydrogenase [ubiq.	7565499.50000019	6776533.5000001	7900716.00000001	10080710.9999998	8809381.99999986	10522454.0000003	6637608.99999995	8078289.5000001	10602028.0000001	9828489.00000015	1538258.49999998	9687033.00000024	8013121.99999983	8267841.49999975	11228121.9999998	8785600.99999996	9135991.0000001	7237629.99999986	7833429.4999998	9840669.99999974	10270047.0000001	8741633.00000028	8538632.00000001	8636165.9999999	8221075.50000004	7315020.99999979	7601173.99999975	9455130.00000001
Q9CRC0_Vitamin K epoxide reduct.	6358711.00000005	6125758.50000015	5993493.99999984	5474697.49999987	6957417.49999995	5653331.49999998	6421550.49999996	5884134.9999999	4204130.00000014	5432382.99999995	7540866.9999998	4813311.99999984	7433273.99999995	5022600.50000016	5231581.49999993	4938138.49999985	4894625.50000002	2316654.25000002	3957204.24999987	7720224.49999991	6882447.99999995	5339545.49999984	5208163.5	4613423.00000013	5211608.99999987	4762865.50000015	4889894.49999996	5782808.00000004
Q99JT9_1,2-dihydroxy-3-keto-5-m.	8745136.99999997	8423663.99999976	10077655.0000004	10837731.9999999	8737491.00000017	8677295.99999988	6850445.49999992	6579471.99999985	12433540.0000004	10065893.9999998	7546829.00000013	18283132.0000004	6936646.49999984	4538693.49999997	3864437.25	9015275.99999977	8855964.99999981	6707349.00000018	4982096.9999999	12720329	11629757	8359821.5000003	18030562.0000005	12350973.9999999	11737805.0000004	9972354.00000023	7581192.49999997	9311254.00000004
P01872_Immunoglobulin heavy con.	459739.590000005	550861.560000008	1979926.11999997	212377.299999994	91036.0899999994	1327726.62	3610413.50000011	568265.15808274	483278.075142682	381487.108037868	938343.223290948	533978.8694254	479908.750000002	527746.620000007	809594.95126105	680063.956456444	3145879.49999992	328821.410000003	1249683.18113743	1389362.87999997	1493606.86787658	1995481.37999997	512108.307295873	1199769.37999996	163897.199999998	654320.880000016	514058.645501836	1304863.25413808
Q9R013_Cathepsin F	4749047.00000013	3393181.50000002	7003344.50000004	1342289.88000003	1002111.31000003	7173529.50000009	569562.939999984	7525603.50000009	5504388.49999991	7881664.99999976	2165297.99999996	7222713.49999982	1773213.88000001	8008121.99999994	6384226.00000002	7108241.00000013	1580330.74999999	1508610.88	4760053.49999993	6384367.99999987	7846843.49999988	6818219.00000018	6409941.99999981	7480311.00000021	6301835	4597482.99999994	7764135.00000023	6599615.49999992
Q9JK53_Prolargin	5474372.99999993	4400638.49999996	6057271.49999981	4170682.49999989	5883908.9999999	4789763.0000001	6331373.5000002	5336120.00000011	5626319.00000011	4844356.49999996	6021280.99999984	4691147.5000001	6449691.00000003	6352803.49999989	3658753.25000007	4641689.99999995	4790659.99999991	5738969.0000001	4606429.99999988	289135.059999997	3925302.99999992	3850928.75	4942408.49999995	5583910.50000017	4282000.00000001	639544.749999994	812715.379999985	525304.250000002
Q9CZ04_COP9 signalosome complex.	1700938.62000001	1517591.38000003	1453943.00000005	1795696.88000004	1335944.11999999	1573979.75000005	1762846.37999996	1558649.38000001	1091444.74999998	1974721.87999999	1290464.88000001	1357993.50000004	1865368.12000005	1642570.12000002	1345835.11999996	1511189.38000003	1820204.24999998	1080808.12000003	1770719.12	1556903.74999995	1765995.38000006	1447585.99999996	1439548.37999998	1322403.38	1736304.11999995	1809725.25	1637442.87999994	1614923.12000004
Q61733_28S ribosomal protein S3.	191382.830000004	226350.410000005	158367.139999996	168486.980000002	103314.379999999	699366.559999976	188591.979999998	276770.190000005	135513.610000001	802503.000000022	155130.769999995	158476.280000004	1084692.00000003	1088802.88000003	146947.84	927813.49999999	178198.590000001	171023.219999999	146316.780000003	863770.689999981	107773.770000002	466282.090000009	750459.619999991	593384.809999983	151142.879999996	140431.729999998	837142.689999975	134558.560000003
Q9CZY3_Ubiquitin-conjugating en.	943567.119999969	992988.757170897	1201144.38	1368427.49999996	919242.499999992	1090604.62000003	946321.684715896	993222.439999994	1061624.54959986	818734.619999983	1034859.80999999	1127393.00000003	1013179.25000002	1276193.49999999	1155414.62000002	1400656.24999997	1479798.87999998	1167735.38000004	1541655.99999997	665525.879999992	710249.55999999	897887.755963702	961727.690000021	886560.74999999	1011803.24999998	1373646.49999996	1517252.12	843626.144177338
Q62422_Osteoclast-stimulating f.	3853861.99999994	3491805.24999991	3340375.99999991	2970968.75000004	3047191.50000006	3218800.00000004	3622351.50000002	3192952.74999994	2992584.24999999	3319934.99999992	3547097.74999992	3039697.24999996	3235509.50000007	3582667.24999997	3571770.99999998	3525526.25000009	3218438.4999999	4007427.74999989	3891412.24999998	4328256.50000009	3044581.75000001	3499223.75000001	3290734.49999991	3257105.24999998	3572039.00000002	3803290.50000001	3546154.74999994	3452813.25000001
Q9D1R9_60S ribosomal protein L34	31437998.0000007	25613298.0000003	30790834.0000011	36166995.9999993	32075817.9999993	32346012.0000005	31871480.0000011	27087328.0000004	30026950	35891403.9999993	24715447.9999993	23717691.9999999	29128698.000001	31903445.9999992	37231240.0000001	31526546.0000007	32837976	27171713.9999994	30425227.999999	26015066.0000006	35534131.9999994	35211939.9999999	28353653.9999996	28836393.9999998	32300945.9999989	33214750.0000003	39243591.9999988	35612727.9999992
Q921S7_39S ribosomal protein L3.	1410899.37999996	255542.749999998	1263976.38000001	2313073.00000003	2386350.99999995	1428109.12000001	4776071.50000007	1441704.24999995	166427.689999998	188698.160000002	204044.089999993	830313.499999993	2811385.49999997	3994606.50000013	2880950.00000007	201378.689999997	890299.120000023	147732.049999999	3070769.24999994	3057757.2499999	871784.25	211012.050000006	977129.690000025	173659.769999997	162035.140000005	1892293.00000006	225846.280000006	1032710.68999999
Q8VCI0_Phospholipase B-like 1	4031324.49999995	752632.120000018	379044.379999999	400804.659999987	1473601.14714274	291669.030000005	1310307.030098	3817352.74999997	301677.120000007	2557713.00000007	3204494	2224840.49999997	2734995.25000009	4099628.75000005	499526.339999999	3488645.75000005	428516.220000011	401642.809999986	2417560.75000002	172004.329999998	2400138.00000007	1966081.50000005	1886628.37999998	1376282.59425898	1887343.00000002	432605.119999993	3793489.49999988	252385.950000003
P29351_Tyrosine-protein phospha.	1347380.00000004	3188618.00000007	637056.559999998	850846.68999998	1652871.61999999	2640155.50000004	1486132.00000005	902046.999999998	649809.810000003	159143.749999998	3392413.75000009	702913.379999993	4141739.50000006	1621219.37999999	1431644.24999999	1880958.50000006	1928841.75000005	1586176.74999995	918969.250000025	529894.380000003	69759.5300000022	654965.559999986	643796.500000001	756492.190000006	729321.809999994	731468.380000011	4015943.25000005	738978.880000018
Q7TMR0_Lysosomal Pro-X carboxyp.	404460.810000002	606744.119999993	678837.249999988	441021.589999991	593563.734916722	384258.719999992	732416.559999999	801797.500000023	551915.060000004	330173.030000004	640981.559999995	597505.060000018	566142.750000006	599754.120000017	524737.689999996	633072.750000012	822770.880000027	556224.99999999	667999.500000011	654203.190000014	722983.190000003	747881.120000022	631630.309999983	555854.620000004	408613.690000014	556414.559999986	526623.99999999	496689.969999993
Q99PV0_Pre-mRNA-processing-spli.	236638.750000007	714402.500000012	513527.470000016	118258.670000002	636780.499999998	155844.139999997	206231.55	275253.690000005	155604.249999995	523425.250000019	986467.060000011	644755.499999986	124059.260000001	553204.190000002	843659.619999977	169799.469999999	297538.3990337	177060.781176753	118694.88	98322.8300000027	89183.9099999988	765963.749999979	167981.480000005	130541.260000001	153753.669999997	156346.190000002	168019.080000005	230420.340000005
Q9D6U8_Protein FAM162A	5449322.50000013	5282420.49999985	5822484.00000005	5518410.49999999	6372855.99999988	6696461.00000009	7368967.99999997	5016671.00000007	5795466.99999986	2402375.99999998	3363348.99999994	5142949.00000005	5215858.00000017	7209753.49999998	8367409.50000005	6112648.00000005	7253696.00000017	5742442.49999999	7035482.50000017	7555198.9999998	6500439.00000019	4732939.49999995	7114090.50000019	6904036.50000009	5499813.00000005	4972682.99999989	5025607.00000005	6625241.49999999
Q8VE95_UPF0598 protein C8orf82 .	1575742.61999995	1620808.61999996	1838738.51621998	2007846.14959014	2210177.99999997	1998087.75021538	1742594.30632617	1998762.37999996	2596931.99999993	1880554.00000006	1834378.00000006	1740460.12000001	1619200.62000003	2627988.74999992	2882956.24999993	1930561.50000005	2276631.75000005	2416188.50000006	2494971.36976755	1846359.5	1932051.20655547	1739926.75000003	1946237.84132754	1750196.00000006	2173466.75000005	2047377.88000002	2491051.50000006	2048806.49999999
Q6P542_ATP-binding cassette sub.	4572522.99999996	4174293.99999994	6821046.50000001	5509404.99999992	4556029.50000006	5633204.50000014	6994170.00000014	4145622.99999999	3231610.75	5645687.49999984	4129192.99999997	7943273.50000024	6913061.49999986	6645871.49999985	7622412.00000005	6585262.50000013	5203996.99999986	2624835.74999999	3131726.25000005	4093654.25000012	5972703.49999988	5873446.00000015	3905101.25000007	3699802.49999997	6242628.50000006	6399500.00000019	6601080.0000001	6408869.49999982
Q99K23_Ufm1-specific protease 2	6750895.00000004	4317074.50000007	4385823.49999994	3163386.99999999	1317463.74999997	2864446.00000003	5106901.99999984	1825724.87999998	4029199.00000011	5252803.00000003	6021142.99999996	3039513.50000009	2809692.24999993	2962247.49999997	3112426.49999995	4858144.49999998	3215081.75000002	1485415.38000003	1506884.99999998	1264546.12	1313674.25000004	2902686.99999997	1500105.75	2746075.25000005	2000034.74999994	2818328.49999997	2766209.75000007	2974042.25000006
P03930_ATP synthase protein 8	19934589.9999993	19226652	21326372	26118957.9999998	15125024.0000004	27421979.9999991	17807212.0000004	25564722	22106417.9999998	25222009.9999998	16622328.9999995	1303746.11999998	17401524	23558668.0000005	35555703.9999989	18198642.0000003	42933683.9999992	30190141.9999993	24011195.9999994	22580997.9999998	24305165.9999994	21229579.9999995	23922682	10783453.9999997	23088253.9999999	37329552.0000013	28804918.0000007	17376120.0000001
Q8BHC4_Dephospho-CoA kinase dom.	2659714.74999994	2246319.49999994	2657324.00000007	2256156.75000004	2737184.25000004	2430580.00000008	2740128.49999996	3097912.24999997	2124666.25000001	274961.280000009	2239130.74999999	2338108.25000006	2565167.99999995	2914440.00000008	2381777.99999994	2529784.99999994	2720379.00000002	2510879.25000007	2730704.99999991	2962683.00000005	2304047.24999997	269691.189999993	2402004.75000005	2103044.25000001	2118735	2920006.99999994	2852825.75000006	2289357.75000001
Q9QZ23_NFU1 iron-sulfur cluster.	4137815.50000005	804656.940000013	529127.250000003	538292.999999984	650051.910415577	502937.119999996	5323316.49999989	5725002.50000019	498828.250000012	3020106.25000003	1207216.5	434280.88	529330.439999996	684736.560000006	540727.939999986	614759.620000011	510846.264089102	561501.749999995	558837.880000009	238566.340000004	553900.380000008	2076125.37999998	451611.379999993	490889.310000011	360925.939999992	431566.279999992	521821.839999996	553677.690000014
Q3TEA8_Heterochromatin protein .	1529455.5	1655492.38000003	806350.120000025	262710.379999998	1398162.24999996	1323249.12	1677999.62000006	1601584.50000001	1303324.12000003	1446090.68852255	1467623.74999999	1339463.00000004	567909.559999987	489565.810000005	1086527.12000001	1234713.12000001	668981.120000024	1405125.12000001	499989.339999995	1243251.62000003	1044212.31000002	1261416.99999997	1133495.49999998	127002.520000001	1043579.94000003	1126261.25000002	1207659.21754088	168423.970000005
O35683_NADH dehydrogenase [ubiq.	1267200.2071471	1115980.61999996	1102392.00000002	1618106.88	1264491.62000002	1560257.00000001	1502350.00000003	1313437	1435664.11999998	1788025.49999997	1115912.25000001	1611010.75000005	1367473.50000005	1336009.88000002	1497615.00000001	1384474.6358348	1463280.62000001	1219503.5	1409977.56533966	1287052.25000001	1173489.87999997	1396377.24999996	1300156.88	1566530.62000003	1249664.97394105	1644327.74999996	1000261.37999997	1414950.74999996
Q8R311_Endoplasmic reticulum ex.	3358012.25	624179.94000002	2143780.74999997	347299.499999997	470851.250000013	617558.560000002	699344.999999979	785314.380000023	911039.379628825	868285.669511415	681077.000000003	2535823.00000002	748660.250000011	465510.77999999	627561.880000018	614357.916676152	1198995.54561313	2459686.00000001	525217.750000016	1789087.25000005	458126.440000002	1724320	427379.469999995	449754.720000002	369104.249999995	2352773.75000002	528211.380000008	456992.905915094
