dataMatrix	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m
9H-xanthine	68305041.3464901	97831921.3331531	83154388.0444421	69164967.1694343	82046575.2392028	72804294.0583857	125371279.279408	109458615.896425	101386793.944434	100935734.856775	107265990.325233	103612890.678734	120732381.092891	132516283.201961	127518303.485586	136637168.38024	134099587.789091	127885735.25261	123353902.585886	135307512.467191	131776593.929893	129418225.053788	143173347.886409	134228249.531054	108871580.673246	124955927.280122	127081216.58899	137506684.732831
L-histidine	15144291.8122091	19156285.4293759	25690874.1922717	21719872.2832485	18206870.5000142	18370425.5532468	19927575.0996509	26555791.9090188	19874056.7427472	22684911.5575114	19574040.4421613	18671012.1111627	17412412.4761554	26640963.5217936	24369733.6150519	34282786.3169652	18777727.5766072	29606701.3693389	24142491.6942185	26759689.0325305	32934755.0848599	21523853.9626244	27763872.786978	25837520.45616	19385251.8768589	27716937.0113192	23051984.9708518	24308484.6268966
orotic acid	644546.541152162	811655.024011166	33169183.6742683	1060083.76243496	1337465.2332518	835620.154191278	1482798.7690394	501707.593208763	3983343.02709883	2031857.95697453	660018.532807508	1731394.05186917	2227448.47589169	6501149.80698513	964848.956099526	3041057.61568586	13368757.2496687	6128945.88612641	1808940.1501136	24156639.0764002	10431732.6937654	1611661.84562527	1260501.80276064	958526.853955267	1707450.95729946	1130099.11453064	1034378.66360976	1524869.48312581
nonanoic acid	1342849.80584769	1348134.05089197	3173125.68962174	3508349.45208683	1411007.38195799	1864601.14844956	2335177.40030535	1085585.31338907	3173050.49156378	1470739.13878775	1800117.10216767	1475520.95172104	1230497.58331454	703324.230613035	1123639.62859222	910415.31212895	1449781.58255221	836494.538918262	1854821.24333176	1252819.43198733	1103120.30907266	1628383.26290851	3557359.55860284	3170965.1460187	797640.01846216	1304105.2905504	1934981.41732916	2136044.93016946
phosphoenolpyruvic acid	390208.999999994	1258898.99999999	1415798.99999996	393828.599999991	369864.300000012	305033.799999992	1090386.00000001	1704976.99999997	582153.10000001	1698717.00000001	400804.199999992	1287225.00000005	1012333.00000001	975649.59999999	743728.900000016	965333.799999989	817314.600000009	771414.600000012	461485.999999991	2136543.00000002	1796455.00000003	870151.399999976	563723.499999995	568539.800000007	987226.599999982	461857.100000014	530991.9	628588.799999983
sn-glycerol 3-phosphate	7038776.99999981	12788004	10685224.9999998	8478651.99999997	11295161.0000004	8654184.9999998	18449827.0000002	10333703.0000003	6629650.99999981	18153342.9999998	5231821.00000008	13378818.0000001	13896645	10125875.9999999	10076876.0000002	12989121.0000003	11229289.9999998	14144183.0000004	7544824.99999975	8956466.00000004	9227122.9999997	1329076	3788178.00000001	4688837.99999999	8372572.00000016	5768215.99999986	4680867.00000007	3690180.00000005
L-citrulline	881370.299999996	687958.00000002	1543028.99999995	958884.59999999	545196.800000017	854339.500000024	1179717.00000002	1208620.00000001	1216975	1015746.99999999	530228.799999987	1052538.99999999	850914.100000016	1424980.99999997	830001.399999978	1499216.00000004	1419193.99999999	1816108.00000001	1165916.00000001	732880.200000007	1147667.00000004	1026080.00000003	1132829.99999997	1377034.00000004	1517484	1039678.99999997	1246800.00000001	804520.900000011
3-(4-hydroxyphenyl)lactic acid	4990380.99999996	11436666	14441824.0000004	10827075.9999999	13190176.9999996	10603254.9999999	3086400.99999992	13155481.0000004	13769164.0000001	7618070.00000005	11065867.0000002	6586844.99999997	2499032.00000002	4573074.99999986	6580565.99999994	14490302.9999997	1783033.00000005	4498252.99999997	4775206.00000004	6603457.00000018	14833449.9999996	9480515.99999994	7621575.00000018	7261312.0000002	8185026.00000015	11389963.0000002	6241172.00000018	11574010.9999997
D-mannitol	7213789.00000021	14963149.0000004	12860737.9999997	13031795.9999999	13046967.0000002	12595626.9999998	9668749.99999969	14378959.0000005	12521795.0000003	17736201.9999996	10458028.0000001	11587689.9999999	8874960.99999996	10225788.9999996	12575747.9999997	13708483.0000004	5989614.9999998	9227157.00000024	9225472.9999997	12582341.9999996	7901282.00000009	10360003.0000002	8142829.99999984	10082233	11357768.0000003	12183200.9999997	7880972.00000012	9835272.99999999
Tyr-Phe-Met	4201430.00000008	9308673.99999981	5960401.00000008	7301922.99999977	12038409.0000002	9765319.00000022	2159375.00000004	3621745.0000001	5022856.00000015	4047432.99999999	4988984.00000001	2212280.00000001	2844886.00000008	1338225.99999999	2474611.99999998	1746814	815130.700000013	999318.9	1778850.99999996	2362988.00000002	2261493.00000001	3083375.00000006	2130698.99999997	1356751.99999996	1995424.99999996	1960517.00000001	1838113.99999995	2405307.00000001
N-acetyl-L-phenylalanine	611794.400000003	434956.700000005	357658.199999996	465329.399999987	1005046.99999999	687216.300000018	214863.500000006	423894.400000003	1597955.00000003	385065.300000007	232299.999999995	76319.3099999977	322790.799999994	787532.40000001	289444.799999997	251270.499999994	340218.800000004	1204954	372069.199999998	660622.900000007	1730173.99999999	461834.900000008	221942.000000003	767556.099999987	1024882.00000002	136499.899999999	80295.6700000019	511701.100000014
indoxyl sulfate	2790679.00000004	3409342.99999992	7298215.00000001	1361946.99999997	2574466.99999995	1475142.99999996	2936986.99999996	1625188.99999998	1744798.99999996	2345376.99999994	3572985	2458206.99999991	2135395.99999997	1627886.00000003	1442902.00000004	4298941.99999995	4595116.00000014	3385636.00000011	2234087.00000004	2644503.00000007	4101823.99999989	1294734.99999999	591779.200000012	767372.699999998	1074354.99999996	3048283.99999994	1903281.00000002	1692985.99999999
tetradecanoic acid	4838889.00000004	6592145.00000016	7025498.00000019	7633169.99999979	8276380.99999984	8971741.00000002	8368899.9999999	5913579.99999983	8992222.00000011	5735166	8118191.00000017	5425230.00000005	5487272.00000017	6408949.9999998	6381741.00000009	7731978.00000008	8816169.00000008	9796669.99999996	7544596.00000022	9495544.0000001	8460802.99999977	8358736.99999988	9638155.99999974	7985836.00000019	9409707.00000017	10087066.9999999	5151558.00000007	9524540.0000001
muramic acid	4534024.00000001	8022314.99999994	14632077.9999996	7279874.99999996	13133043.0000002	9839862.0000003	4881983.99999997	12697398.9999999	5042185.99999984	8604519.99999975	9696084.00000034	6674553.99999988	6354724.99999997	14226387.9999998	10385680.9999997	20766481.9999993	3805962.00000006	12396030.9999997	10232413	11176844.9999997	13014551.9999998	8009291.99999988	6458739.99999998	12323470.0000001	9158782.9999999	12215278.0000004	6922330.99999979	11401291.0000004
elaidic acid	176816412.999998	236642570.999992	176924800.000003	208694335.999996	179829193.000005	204423822.000007	378397214.999991	219844120.000006	275310756.999991	211083877.999994	277576666.000005	203753392.999999	269226736.999992	257489184.999992	241141479.000006	200274378.999995	337934990.999995	481615616.999995	389515611.999988	241050417.000005	179962249.000004	266410335.999992	340526434.999994	333607199.000006	338337972.00001	278350248	248346849.000003	301576297.000001
xanthosine	5836368.99999981	3792748.00000003	1923584.99999995	10048305.0000003	10674004.9999998	8574128.99999986	3626119.00000006	3522221.99999992	7338128.00000021	4401382.99999995	9230959.99999986	4635337.00000009	3467635.00000011	2182319.99999999	9852014.99999999	5878257.99999998	1870962.99999996	2180832.99999995	3932195.99999988	4473586.00000007	6474.33900000015	10258035.0000003	6111338.9999998	4161840.00000009	6747207.99999998	12631571.0000001	8458057.99999977	9074093.99999976
all-cis-5,8,11,14,17-icosapentaenoic acid	3703154.00000003	6075835.00000008	5554073.99999998	5835340.99999992	9193607.99999972	9631745.99999976	3963823.99999993	7090056.00000013	8920619.99999988	4470297.99999996	5920343.00000008	4873450	4684483.00000011	6829394.00000016	6242291.00000008	8046155.00000011	6439825.99999978	11035469.0000003	7303156.00000001	8975796.99999986	11718931.9999999	8773316.00000019	5833810.99999984	8072009.00000014	11287442	7446557.00000002	5330777.99999981	12794862
uridine 5'-monophosphate	76740.8999999977	130140.199999997	414348.899999988	974986.299999997	1059755.99999996	1042801.99999997	154736.100000001	150905.999999997	369727.499999988	398708.800000005	59218.0400000004	303176.800000004	170657.800000005	142245.299999999	80277.6800000017	62664.0199999997	115096.600000004	76877.5300000025	26633.7000000001	326661.60000001	178534.700000005	110909.699999997	67383.1499999989	120819.500000002	103233.399999997	14342.4499999995	26520.2499999996	151378.300000004
N-glycoloyl-beta-neuraminic acid	1810405.99999995	2060946.00000004	1673879.99999996	2068533.00000005	1628003.99999996	1577381.99999997	2537573.00000002	2431019.99999996	1952454.00000003	1918723.99999995	2109104.00000005	2222096.00000004	1999551.00000006	2612372.00000006	2201726.99999997	2959433	2280193.00000004	2461386	2109509	2320207.00000004	2010618.00000006	1712291	1950447.00000003	1857787.99999996	1726511.00000002	2260644.00000002	2540519	1795992.00000002
adenosine 5'-monophosphate	3472199.9999999	5820849.99999987	12997669.9999998	30580633.000001	29192084.0000007	21028660.9999994	4750292.99999995	3945687.9999999	9862023.99999993	7796725.00000027	5406081.99999989	6577722.99999985	5911185.00000004	3068315.00000003	2470307.00000008	2371137.99999996	1895019.00000004	2201298.99999995	1452410.00000002	3367760.00000011	2632501.00000006	1914649.00000001	2328952.00000004	2119755.99999996	1953950.00000004	1232697.00000002	1228290.99999998	5565928.99999992
alpha-maltotriose	45814716.9999986	49968012.0000011	54406690.9999987	53562871.0000003	49538227.9999984	46270744.999999	108246932.000004	53553042.0000008	69227469.0000022	66814219.0000024	66638898.9999983	75781106.0000011	75660400.9999991	92846018.9999973	79863763.9999991	73536898.9999986	93697099.9999967	97527167.0000016	91664660.9999997	67659750.9999998	70877320.000002	112994300.999996	120283396.999998	99900340.000001	103262311.999999	88694861.9999975	77547692.9999982	89955621.0000012
deoxycholic acid	1086766.99999998	496667.099999992	587694.200000003	728880.000000011	4321564.00000007	375718.000000004	2263256	784949.499999983	6736942.99999981	1125396	1011402.00000001	1512414.99999995	445467.999999986	1803157.99999996	2795497	1640001.00000004	1989190	2217559.00000001	2899870.00000006	742862.199999999	1261914.00000002	1984879.99999994	2169443.99999996	2421764.00000003	3167758.00000011	1491933.99999999	1788943	1511764.00000003
FMN	118254.999999999	424010.2	115136.800000003	5143.71099999985	40953.6399999993	35170.6700000012	309130.90000001	503101.600000013	13447.03	403937.200000009	124567.699999997	256578.300000003	538844.700000012	1100831	416169.699999987	312409.999999995	417244.100000007	702845.999999985	313775.999999996	476916.700000008	714281.69999999	44959.4699999985	16319.1799999996	184940.700000004	111422.900000001	59086.1800000001	95382.5699999989	20646.6099999996
taurocholic acid	37092579.0000013	40037639.9999997	24065705.0000003	15353480.0000004	101395946.000001	13396738.0000001	206989065.000006	30923687.0000009	85914336.9999992	31189762.0000009	41677517.9999996	33359257.9999997	28345460.0000002	32200533.0000002	60489754.9999984	32848364.0000003	23933943.9999999	35171449.0000011	34386259.0000004	6412735.00000016	11967886.0000001	11818384.0000003	12321797.9999997	13252299.9999998	25284971.9999999	36839504.0000012	25591577.0000007	12576017.0000003
ATP	192867.299999999	357521.200000007	285405.000000006	192271.1	213652.600000005	151908.7	250650.199999997	442059.499999986	218900.000000005	238080.799999993	154143.900000002	261721.300000005	226633.700000007	224675.299999992	182292.999999997	201895.599999993	153477.100000004	175943.8	142589.400000004	262941.800000001	112609.300000002	145777.200000001	105874.599999999	144405.999999996	134977.599999998	152899.499999997	162024.700000003	168251.900000005
GDP-alpha-D-mannose	352466.700000007	203893.600000002	224442.9	844945.000000021	594264.700000002	521322.600000015	52669.7200000008	152084.300000004	797600.799999976	127399.099999998	387491.300000007	138934.100000002	19576.7800000005	2681.50299999992	45722.4800000003	40755.6300000002	8462.66500000015	2000.01699999997	11593.4299999996	33848.8199999995	8102.38900000001	152096.699999998	212470.100000004	47456.1399999985	59392.8900000014	217844.799999993	108207.899999998	324855.399999996
glutathione disulfide	37124329.9999992	45326763.9999998	51394563.000001	51493716.0000007	46162744.0000015	46874981.9999994	26914195.9999999	39417443.9999994	51285354.9999987	36470905.0000009	38090344.9999996	32747259.0000003	30788136.9999996	37193658.9999996	33808887.9999995	43556105.0000002	28484864.9999991	31075319.9999995	29862652.0000005	45748766	34490415.0000011	25123655.9999996	27660767.9999994	27710463.9999997	28020576.0000005	37104826.9999994	32793652.9999999	40142422.0000012
