dataMatrix	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m
3-phenylpropionic acid	1072622.38942139	134195.117599289	119213.918821227	372702.944052034	639202.653321333	332974.394087775	157868.570704612	165377.240233103	1415758.29129568	56199.8526120196	290382.184455429	34753.6682245316	122732.440666119	81931.767005758	421227.716310522	131715.878226932	108419.534838895	161180.584114621	851713.076324255	196768.119143083	416303.422071373	300885.730629919	68020.6954869853	190710.070586109	215845.490585256	18057.0200042797	25113.2258806578	596504.671477931
3-(imidazol-5-yl)lactic acid	851081.514857237	835685.228057023	3792280.1643241	1841741.37667706	2471429.18595167	2028347.55080892	719184.584856052	1091290.93443101	3584348.92625987	4744423.82943634	666294.423437302	3822398.74040299	877579.674470034	791245.400531021	488204.841084741	2538230.72047993	2860499.70905284	1432053.70874957	786906.326154795	4692172.27985036	5673770.69688453	2925799.94832347	944576.457399759	3608317.30627674	3123967.69315865	867187.41916292	577618.26566215	2914295.55514291
indole-3-carboxylic acid	37807.4026824083	43624.6193423082	28130.9229911391	8197.63826026582	42144.5919736224	19728.3218609617	40291.7501497181	84593.8428945779	25278.7528777806	19776.4270120938	37013.2176065807	43153.1068347291	38529.9941512745	59378.2111630715	36463.2412860485	31228.3022720018	42798.9637626084	80307.1600206283	42936.0648220082	91097.5992140435	52251.5749615552	68076.552489895	15440.2704044053	73845.9168862946	41423.0272828436	32263.9614522629	55929.3949433336	38081.9893895671
keto-phenylpyruvic acid	7470.5370000002	16765.3399999999	16498.1899999995	15718.8999999999	8523.31600000005	18882.2900000004	25471.2600000005	9790.05100000003	9665.81499999997	48264.2100000002	25111.4800000007	52595.5299999995	32059.6899999996	46342.4999999993	21693.1900000005	13002.4400000004	46023.9999999987	27585.0400000005	19524.7499999994	38137.9900000005	44273.8799999995	12781.29	25739.6100000001	31878.9799999998	15299.4	1375.27400000002	19452.0499999997	12294.3799999996
7,9-dihydro-1H-purine-2,6,8(3H)-trione	2042333.99999999	1738764.00000005	665276.600000011	413346.400000001	689073.500000008	908179.700000028	865994.999999985	852940.499999975	785095.199999998	771248.299999977	999531.099999973	765122.199999984	765443.900000006	1241595.99999997	1140960.00000004	1526204.99999995	1383238.99999999	1207348	1219669.99999996	1084372.00000003	960079.899999969	732463.999999993	770799.500000008	1212641.99999999	719093.699999993	896662.499999998	1317359.00000001	751485.399999983
pyridoxine	121172.000000001	180389	160602.999999996	157488.600000001	103869.599999997	93490.4699999991	238085.100000008	148258.399999999	139210.099999999	133692.799999997	123290.200000002	187458.899999996	147749.899999996	168814.599999998	169945	185613.899999999	165609.600000003	178755.699999996	204574.399999998	145823.399999997	150591.1	169620.699999996	402222.599999986	240928.300000002	123550.699999997	77706.330000001	368063.399999994	124473.300000003
N(pros)-methyl-L-histidine	291323.299999997	350509.999999989	299906.8	304280.099999994	324630.899999997	282971.100000005	441979.299999999	406399.199999992	293340.799999999	312828.300000006	388125.700000012	279087.000000004	423914.599999989	434926.39999999	375018.49999999	513885.69999999	439235.399999992	504606.400000002	498563.699999991	420042.600000009	523897.399999986	153981.700000003	318303.799999998	262173.700000001	326034.599999992	314135.200000002	357295.799999991	349864.199999997
suberic acid	127081.400000002	93757.490000003	212254.800000006	254859.099999994	102313.800000002	181675.699999997	231191.499999997	87844.95	196599.699999998	128573.400000001	129973.900000002	107441.100000001	84120.6300000005	57263.9799999981	55148.5100000016	64603.9100000009	91876.0199999979	87270.7400000031	83291.7599999994	54740.9999999994	42948.3999999986	101543.299999998	182589.299999994	170891.800000005	60686.2200000019	50558.1400000013	52846.5000000014	117290.700000002
N-acetyl-L-aspartic acid	1230966.00000004	1412988.99999998	1096468.99999999	1201820.99999997	1501184.99999999	1135948.00000003	1351800.99999998	1645985.99999999	5982110.99999986	1774298.99999996	1393242.99999998	1999932.00000002	1075157.99999998	973811.500000019	1297825.00000001	1169795.99999997	852541.600000017	1104156.00000001	943180.300000018	1236987.00000002	918187.100000031	1024290.99999997	1390116.99999997	1090581.99999999	945733.199999971	1116236.00000001	1519093.00000004	820439.200000016
N-amidino-L-aspartic acid	287664.9	381687.200000004	105529.200000001	134811.000000004	280292.599999998	248556.800000004	135612.799999999	299080.300000002	324326.9	46398.5200000001	312842.99999999	63379.1200000017	173324.900000001	226261.100000006	219165.500000002	327195.1	93916.6200000017	289491.100000004	333705.699999999	55376.0499999994	138483.900000001	103734.399999998	99792.5899999993	170103.099999995	109805.600000002	272867.499999995	306182.700000009	181089.700000002
allantoic acid	218665.699999999	319033.400000006	469904.3	315790.100000006	301274.199999993	224429.999999999	267881.100000007	384612.800000002	268321.200000001	215769.399999996	306542.100000005	280242.199999997	267894.699999991	278687.400000006	150180.100000005	380813.999999988	189277.699999996	220016.300000007	219015.100000005	273956.599999992	277188.399999991	171396.799999997	258066.199999995	208045.000000004	171277.799999999	227940.400000001	252441.899999993	244147.699999997
D-glucono-1,5-lactone	99247.2200000017	128692	116569.199999998	1	179870.000000006	220294.500000004	84724.4799999994	78092.4200000012	423676.600000004	299221.800000003	341937.899999995	109233.800000002	85617.3600000018	90936.8000000015	92515.7399999978	97304.890000002	99555.6200000007	261460.699999991	300411.29999999	303959.100000001	524631.99999999	467289.000000007	152376.7	268114	103364.900000003	726248.499999996	485462.699999985	280170.000000009
4-oxo-4-(pyridin-3-yl)butanoic acid	1127359.99999998	4958446.9999999	3797755.00000005	1	1900769.99999999	691430.700000014	2615138.99999994	3521009.99999994	1141536	1302746.00000003	1424500.99999999	174900.599999999	3151547.99999993	2209829.99999996	839836.799999996	3756991.00000012	2756214.00000005	3388975.00000002	1484219.00000002	4633726.99999999	11682666.0000003	1721750	1	1316856.00000004	1473750.99999999	211871.400000006	107978.999999999	976221.100000014
N(6)-acetyl-L-lysine	153274.199999998	233723.400000008	175748.399999996	125742.599999996	161018.099999995	132720.400000001	246963.299999992	308797.399999994	165443.900000002	213378.400000007	276415.1	175363.599999999	247718.200000006	348956.600000008	293630.399999999	391047.199999989	229343.900000005	327176.999999991	264556.399999995	235475.6	335827.000000005	212711.099999994	178807.800000006	210200.600000001	181079.799999996	278802.300000004	301924.100000011	186381.199999995
(5-hydroxyindol-3-yl)acetic acid	13902.8100000002	34031.9599999991	33473.0099999991	5124.20400000004	13611.4299999998	13773.1700000004	41362.0799999988	29626.3100000004	16758.7499999997	36658.8800000005	22362.7799999999	46660.5400000011	37900.2399999994	26219.6299999994	18239.8300000005	22543.2700000007	26398.2500000004	20692.6600000006	28640.599999999	26932.1299999996	28678.0200000005	26519.8600000004	29295.2499999997	25236.1099999997	13505.9499999999	15772.15	30673.8099999995	19091.7900000005
ferulic acid	30417.9899999999	33428.0899999991	6669.85100000014	2468.57899999992	15695.4500000001	9820.00199999975	36804.2699999993	3490.19099999994	144657.499999998	9812.87700000027	22066.5500000005	4149.27800000009	6933.31599999976	14308.1499999996	37012.100000001	19980.8200000002	11214.4300000001	16221.8399999999	10340.8100000001	6989.55599999977	16625.61	10708.4000000003	19618.2000000001	12943.0599999997	4454.73800000007	42412.3299999994	7588.31699999976	27244.3899999994
sebacic acid	67846.399999998	61818.0299999979	97277.4699999982	108923.799999996	42671.5599999996	161124.000000004	35593.0000000003	33692.3999999998	106866.599999998	61825.4499999991	53290.9999999987	60437.5199999988	15893.0899999995	61330.550000002	38984.3799999991	76315.5000000007	69145.0299999998	90031.6400000022	99044.6400000031	34624.1600000001	8952.75400000027	121758.7	17927.4599999996	145683.399999998	37709.7000000011	1794.84399999998	16698.8300000003	61068.719999999
3-(indol-3-yl)lactic acid	187959.600000006	483461.400000015	620019.499999982	333661.500000008	428776.699999989	295363.399999991	236005.099999997	441036.699999993	473919.300000003	593329.400000011	497683	422384.200000003	197352.799999999	286359.199999994	292297.400000007	743105.500000014	225217.599999994	325587.099999991	206566.099999998	255988.9	529866.199999998	305244.900000009	200356.899999998	243832.000000008	317526.299999994	399198.099999991	172154.900000006	364317.799999998
12-hydroxylauric acid	105403.600000001	51812.6299999991	164906.699999997	84195.6699999984	56163.4400000001	49554.2100000009	50730.830000001	76495.6600000001	83219.2600000026	47058.5300000003	57898.1399999987	73192.550000001	59612.5799999986	94073.1600000026	25265.2399999997	31796.5100000007	118529.2	66422.1100000003	45480.1099999987	127109.800000003	150686.599999996	40459.1100000006	38358.1000000003	116205.999999999	37910.6200000012	41424.1900000012	27335.7000000001	30870.7499999993
pantothenic acid	7001768.00000019	12907687.9999997	12688047.9999996	14183318.0000004	14290490.0000004	13087996	13728633	17430806.0000005	12875085.9999999	21672856.9999996	25178374.0000008	21141926.9999997	16551633.0000002	40646030.0000007	31627364.9999999	24602144.0000004	24700382.0000002	31268313.9999999	24202642.9999996	34779837.999999	53556555.9999991	37527285.0000001	23661783	31115771.9999991	28439179.0000003	19118228.9999998	20905462.9999999	18894495.0000004
L-cystine	122483.900000003	98540.2400000004	37844.3200000003	170154.899999998	29197.0100000009	30430.2799999997	85039.5400000024	136271.200000002	105770	109402.9	141869.399999998	46414.5200000012	67579.8899999996	100055.300000003	161776.399999998	212963.399999999	1561.367	122050.800000004	193566.999999995	149721.999999999	238929.500000005	125904.400000001	191288.800000006	103274.999999997	154801.200000003	194053.299999999	340667.700000009	160070.700000002
uridine	30933516.9999999	44845557.0000007	27961230.0000002	47969999.9999987	47542227.0000015	48317293.9999998	45264293.9999991	36337642.9999996	42723424.0000006	44102061.9999999	48504059.0000014	52924376.9999998	50921769.0000008	50094999.9999991	51993246.0000012	35388123.9999998	47977680.0000006	60438343.9999983	58154608.9999983	51463040.9999993	43552841.0000014	51569613.0000015	59345749.0000005	46906588.0000008	58786011.0000004	41489170.0000007	4118097.99999987	55236867.0000005
pyridoxamine 5'-phosphate	186483.999999998	204977.200000005	157770.500000005	176988.999999998	184268.399999996	162871.999999997	161414.3	218850.400000004	185984.499999995	187210.099999997	171609.499999998	190064.800000005	203133.200000004	134862.499999998	158784.500000001	205516.600000002	136278.000000002	132717.999999998	112957.899999998	154184.999999998	116619.600000001	80807.4300000005	66869.1000000004	95652.5300000016	104650.6	173647.400000002	160663.499999999	156106.299999999
2,3-bisphospho-D-glyceric acid	152791.200000003	154211.899999995	411123.299999988	284235.600000008	241590.500000003	183563.400000005	152918.499999999	79526.7899999992	275125.399999996	123246.600000004	267733.700000008	132130.600000005	92146.0699999975	3948.80200000012	62854.1900000009	107494.799999999	31274.6999999996	19019.3500000005	75875.0400000013	158367.100000003	10678.2200000002	67403.7699999996	99513.0999999973	57662.0599999999	58275.0899999992	103619.900000002	140808.699999996	150582.900000005
(S)-naringenin	74715.7500000021	6170.33299999984	2568.46400000003	1	4395.99200000012	16756.8500000004	5649.16100000006	33682.3299999995	207906.199999999	3128.08699999996	7875.20600000008	1058.00299999998	692.216899999998	3787.8739999999	1034.81800000002	9167.71599999985	1	1	25518.4199999999	41256.4699999992	22855.5700000001	19789.2700000004	11554.7200000002	40309.1899999989	42979.6299999989	14779.1599999999	12159.3200000002	28397.4300000005
2-hydroxyhexadecanoic acid	649587.399999989	977133.700000005	1438632.00000003	905118.299999998	794176.499999997	851154.199999992	1198295.00000003	889584.999999973	1038278.00000003	954300.200000018	1085371.00000002	898850.700000008	922523.999999979	1100799.99999998	809046.299999991	1127153.99999997	1143883.99999998	941468.100000014	878324.700000023	1373528.00000004	1357956.99999998	1134664.00000003	1151126.99999998	915684.500000007	768840.699999981	999089.199999994	1023255.00000001	1123482
guanosine	944549.49999999	1173958.00000002	1757319.00000006	1388829.99999999	1965736.00000005	2083713.99999999	1007747.99999997	774325.199999992	1699320	2092908.00000002	1380212.00000002	1679597.00000005	992706.40000002	497631.099999987	450132.100000004	368746.999999996	683543.70000002	653860.499999979	429491.999999998	946099.299999967	612950.4	954123.199999994	559719.200000003	850224.600000013	897018.600000027	610530.29999999	448236.900000015	1284127.99999996
(N(omega)-L-arginino)succinic acid	40085.3400000004	48282.4399999999	23572.0200000001	28980.1799999995	56481.6300000009	54477.2199999999	33136.6600000007	64114.9500000003	44169.8800000001	47343.7799999998	112057.799999998	48364.8400000014	40272.5700000012	38913.9799999988	59048.4699999986	66525.4899999983	9956.92300000013	29514.6500000008	28033.6400000001	41974.6800000005	28685.2300000005	16862.1499999998	2895.28900000008	5689.482	15124.8999999996	56848.2599999981	30178.3199999992	19494.2199999998
5'-S-methyl-5'-thioadenosine	113996.599999997	103240.9	94742.979999997	177550.000000001	103232.099999998	161191	20536.9699999996	106038.599999998	122516.899999997	24076.0600000005	242508.900000002	30073.8699999994	44051.3399999992	33047.2199999992	82091.3299999992	50022.2699999985	33958.560000001	8051.41200000002	21873.3099999994	14593.6399999999	19766.1900000002	49403.5699999995	89078.5900000004	39307.4400000009	45099.5700000001	1	49783.009999999	50074.8099999987
prostaglandin B2	111123.299999998	122956.900000003	122573.8	72410.1500000018	39960.6399999992	47864.4000000009	27035.3199999995	110275.799999997	89716.7799999985	48085.0099999995	36061.3299999993	89644.7299999993	86149.9399999988	173865.900000005	56851.7399999996	114257.699999996	163110.099999996	138420.3	69555.3900000023	76408.0899999998	201823.399999993	8885.99599999984	63166.2799999992	42218.2100000001	4099.47700000011	1	39927.3800000013	34618.4199999998
prostaglandin A1	61958.8499999998	215961.599999995	139032.399999996	1	114735.799999999	38460.7000000007	13132.9199999996	197297.200000006	50143.2000000002	162356.800000002	160884.900000005	187850.999999995	148789.100000001	189386.799999996	151331.699999995	155372.499999997	1	166073.6	104904.800000001	227477.199999997	243369.499999997	40910.6499999991	198410.900000004	189191.700000005	73188.0299999986	87976.1600000008	209027.599999994	65284.9600000007
alpha,alpha-trehalose	36294512.0000002	45132854.0000002	48734440.0000012	44613937.999999	41018840.0000013	40287807.9999988	107227709	34597752.0000011	72564405.9999977	44947740.9999988	49742353.0000008	54578108.0000011	45558816.0000006	60891717.000002	61943812.9999986	58406575.0000012	57662683.0000009	54051478.9999996	60159288.9999996	61004476.999998	63798107.0000014	92208944.0000027	90493068.0000024	71862772.0000003	85216534.9999976	57530132.9999983	61157115.0000012	72054615.9999983
medroxyprogesterone	236066.199999999	355352.400000004	444221.200000013	127606.900000002	36365.9199999994	70790.929999999	506614.600000017	316981.49999999	103278.200000003	248054.300000004	224764.600000005	316641.099999998	326298.000000007	326940.2	251475.200000007	183707.200000001	312439.400000011	314385.9	237237.500000008	264861.000000003	265180.900000004	532755.200000017	464220.50000001	358642.299999989	90437.3199999986	130929.900000002	337563.299999991	86085.1999999987
prostaglandin F1alpha	402823.999999997	380518.599999995	318412.500000001	254617.6	303931.500000008	195465.300000005	152052.399999997	416559.799999999	377449.600000008	137643.5	334903.49999999	121059.299999998	205150.499999994	296056.200000002	308242.90000001	402927.900000011	267929.500000007	475750.399999985	338021.200000005	322861.999999989	473450.400000013	245278.199999997	238406.500000003	305242.599999996	273595.699999995	261984.899999999	180075.999999997	260172.299999999
ADP	758210.600000018	633657.999999992	795497.000000013	1019187	437744.099999995	610653.50000002	348357.40000001	340912.899999993	976655.700000006	322103.900000008	749452.099999976	508532.199999988	340343.400000005	22699.4	180020.899999994	183998.600000006	12577.7599999998	15195.4000000003	16220.8999999994	22569.2600000001	12792.1800000001	131176.099999997	261093.900000006	48783.3299999998	60999.8500000019	290749.599999995	279337.700000004	410065.09999999
GDP	50451.4599999989	46733.6200000012	85375.8700000021	99674.7600000026	62540.4399999984	37412.1899999993	50027.7699999995	37443.0899999987	74573.2399999988	25129.7199999998	27822.1699999999	42006.4499999995	21322.7000000003	20255.1700000007	22858.2499999996	19918.1100000004	14388.6900000001	3526.62200000006	23920.1899999993	26559.9799999995	39841.0800000007	6160.89699999984	16241.9700000002	18992.4900000005	5073.01400000012	16888.9099999996	35047.3399999995	23936.2400000007
glycocholate	42576.0900000003	96026.0399999994	40925.2000000008	4348.84100000001	211905.500000007	22129.6699999998	255842.799999992	57769.7999999993	84549.2999999999	62942.7900000019	66210.4400000019	74224.4600000015	25639.1299999995	74839.6099999983	180343.400000006	83357.6800000024	40386.0600000007	92998.4900000002	39883.630000001	6864.9900000002	17112.5900000002	2602.59799999993	13101.9499999997	4431.62700000014	23590.9999999997	91415.2999999993	10647.6899999997	3986.27799999997
ADP-D-ribose	24458.9400000003	25440.7000000001	36959.0200000009	402814.000000003	330884.000000012	63035.0600000018	29125.4999999997	7276.90600000022	60712.8000000002	12492.6999999999	44948.6400000014	33948.8800000005	17600.2099999994	4046.15700000013	21010.7700000002	15305.7800000001	13999.3499999996	5465.32899999983	19848.7800000002	14871.0400000005	8580.17099999976	14581.9500000004	39383.2400000005	29297.8199999995	11323.24	32604.4699999993	43850.2999999994	41158.3000000001
UDP-alpha-D-galactose	31587.9600000001	44549.9999999986	21214.6399999999	609285.399999993	211696.099999993	62574.07	161455.099999995	36824.44	228421.500000003	209096.100000003	40067.9099999991	157277.199999998	88161.7599999986	11318.3600000003	14085.2100000004	6768.24699999978	31953.9	49261.0799999989	13453.2699999998	20574.8799999993	5463.93099999982	28753.5700000007	72856.6100000021	30894.53	39224.9900000002	166434.099999997	43674.6900000012	77448.73
GDP-L-fucose	106745.3	132151.999999996	119799.999999999	140940.600000002	109421.799999997	121971.400000001	55824.06	120562.099999999	134518.199999997	92175.2499999979	107958.300000003	81741.9300000025	50281.1700000011	22391.2700000003	48655.7300000012	60920.9599999984	19523.1400000005	21541.7699999994	23509.7300000007	47399.8699999998	32173.949999999	31427.3000000007	41629.4799999996	17578.4799999996	22557.6200000003	66420.1299999982	67225.6500000017	46468.6400000008
